Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
699,Andy Diouf,fr FRA,MF,Inter,it Serie A,22.0,2003,16,1,251,2.8,0,0,0,0,0,0,1,0,0.00,5,2,40.0,1.79,0.72,0.00,0.00,0,0,5,4,1,2,1,0,0,2,0,,,,,,,,,,,,,,
700,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22.0,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,3,1,33.3,3.00,1.00,0.00,0.00,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
701,El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham United,eng Premier League,21.0,2004,28,26,2364,26.3,0,5,5,0,0,0,5,0,0.19,16,2,12.5,0.61,0.08,0.00,0.00,0,0,87,17,28,22,5,0,0,25,0,,,,,,,,,,,,,,
702,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,26.0,1999,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,2,4,1,0,0,0,0,42,1.83,118,82,68.6,6,5,12,4,17.4,7,5,1,1
703,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,28.0,1997,14,1,215,2.4,0,0,0,0,0,0,3,0,0.00,4,1,25.0,1.67,0.42,0.00,0.00,0,0,6,1,6,3,3,0,0,7,0,,,,,,,,,,,,,,
704,Axel Disasi,fr FRA,DF,West Ham United,eng Premier League,28.0,1998,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,5,3,60.0,0.50,0.30,0.00,0.00,0,0,0,7,7,3,1,0,0,5,1,,,,,,,,,,,,,,
705,Matías Dituro,ar ARG,GK,Elche,es La Liga,38.0,1987,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,1,7,1,0,0,0,0,22,1.29,70,51,72.9,6,7,4,3,17.6,4,3,0,1
706,Djené,tg TOG,"DF,MF",Getafe,es La Liga,34.0,1991,31,29,2380,26.4,0,0,0,0,0,0,10,1,0.00,4,0,0.0,0.15,0.00,0.00,,0,0,9,22,34,25,10,1,0,32,0,,,,,,,,,,,,,,
707,Harouna Djibrin,cm CMR,MF,Angers,fr Ligue 1,19.0,2006,15,1,336,3.7,2,1,3,2,0,0,2,0,0.80,7,3,42.9,1.87,0.80,0.29,0.67,0,0,8,4,5,8,2,0,0,9,0,,,,,,,,,,,,,,
708,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,33.0,1993,31,27,2355,26.2,0,0,0,0,0,0,4,0,0.00,15,2,13.3,0.57,0.08,0.00,0.00,0,0,2,29,35,7,4,0,0,16,0,,,,,,,,,,,,,,
709,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,34.0,1992,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,2,0,4,0,0,0,0,0,49,1.48,160,116,72.5,10,9,14,9,27.3,5,5,0,0
710,Henrick Do Marcolino,fr FRA,FW,Rennes,fr Ligue 1,20.0,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,
711,Ritsu Doan,jp JPN,MF,Eintracht Frankfurt,de Bundesliga,27.0,1998,29,26,2193,24.4,5,5,10,5,0,0,5,0,0.41,37,14,37.8,1.52,0.57,0.14,0.36,0,0,104,21,15,32,5,0,0,22,0,,,,,,,,,,,,,,
712,Dodô,br BRA,"DF,MF",Fiorentina,it Serie A,27.0,1998,32,32,2774,30.8,1,2,3,1,0,0,7,0,0.10,24,4,16.7,0.78,0.13,0.04,0.25,0,0,132,16,27,48,7,0,0,18,0,,,,,,,,,,,,,,
713,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27.0,1998,31,31,2790,31.0,5,0,5,5,0,0,4,0,0.16,41,10,24.4,1.32,0.32,0.12,0.50,0,0,6,30,41,13,4,0,0,27,0,,,,,,,,,,,,,,
714,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,34.0,1992,11,11,786,8.7,0,0,0,0,0,0,4,0,0.00,3,0,0.0,0.34,0.00,0.00,,0,0,8,8,7,6,4,0,0,16,0,,,,,,,,,,,,,,
715,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23.0,2002,29,21,1843,20.5,0,0,0,0,0,0,5,0,0.00,11,4,36.4,0.54,0.20,0.00,0.00,0,0,36,20,22,17,5,0,0,16,0,,,,,,,,,,,,,,
716,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23.0,2002,25,16,1483,16.5,2,5,7,2,0,0,0,0,0.42,28,10,35.7,1.70,0.61,0.07,0.20,0,0,51,13,10,49,0,0,0,22,0,,,,,,,,,,,,,,
717,Tyrhys Dolan,eng ENG,MF,Espanyol,es La Liga,24.0,2001,32,25,2133,23.7,1,4,5,1,0,0,6,1,0.21,29,9,31.0,1.22,0.38,0.03,0.11,0,0,97,31,14,41,6,1,1,32,0,,,,,,,,,,,,,,
718,Marc Domenech,es ESP,MF,Mallorca,es La Liga,20.0,2006,7,2,214,2.4,0,1,1,0,0,0,0,0,0.42,3,0,0.0,1.26,0.00,0.00,,0,0,7,2,0,3,0,0,0,3,0,,,,,,,,,,,,,,
719,Benjamín Domínguez,ar ARG,MF,Bologna,it Serie A,22.0,2003,13,5,482,5.4,0,3,3,0,0,0,1,0,0.56,11,1,9.1,2.05,0.19,0.00,0.00,0,0,6,2,2,15,1,0,0,6,0,,,,,,,,,,,,,,
720,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,25.0,2001,8,6,610,6.8,0,0,0,0,0,0,1,0,0.00,2,1,50.0,0.30,0.15,0.00,0.00,0,0,1,8,5,1,1,0,0,6,0,,,,,,,,,,,,,,
721,Nicolás Domínguez,ar ARG,MF,Nottingham Forest,eng Premier League,27.0,1998,23,14,990,11.0,1,1,2,1,0,0,3,0,0.18,16,5,31.3,1.45,0.45,0.06,0.20,0,0,13,24,4,9,3,0,0,15,0,,,,,,,,,,,,,,
722,Jean-Luc Dompé,fr FRA,"FW,MF",Hamburger SV,de Bundesliga,30.0,1995,20,12,1138,12.6,3,0,3,2,1,1,0,0,0.16,25,12,48.0,1.98,0.95,0.08,0.17,1,1,82,5,0,9,0,0,0,2,0,,,,,,,,,,,,,,
723,John Donald,es ESP,"DF,MF",Elche,es La Liga,25.0,2000,16,5,507,5.6,1,0,1,1,0,0,2,0,0.18,5,2,40.0,0.89,0.36,0.20,0.50,0,0,0,8,7,5,2,0,0,12,0,,,,,,,,,,,,,,
724,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,27.0,1999,30,30,2700,30.0,0,0,0,0,0,0,6,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,1,3,6,0,0,0,0,25,0.83,92,66,72.8,20,7,3,13,43.3,1,0,1,0
725,Romelle Donovan,eng ENG,FW,Brentford,eng Premier League,19.0,2006,4,0,41,0.5,0,0,0,0,0,0,0,0,0.00,3,1,33.3,6.59,2.20,0.00,0.00,0,0,2,0,0,3,0,0,0,2,0,,,,,,,,,,,,,,
726,Patrick Dorgu,dk DEN,MF,Manchester Utd,eng Premier League,21.0,2004,22,14,1335,14.8,3,3,6,3,0,0,5,0,0.40,20,7,35.0,1.35,0.47,0.15,0.43,0,0,54,30,14,42,5,0,0,19,0,,,,,,,,,,,,,,
727,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,28.0,1998,29,24,2008,22.3,0,1,1,0,0,0,2,0,0.04,14,3,21.4,0.63,0.13,0.00,0.00,0,0,26,27,14,22,2,0,0,28,0,,,,,,,,,,,,,,
728,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,27.0,1998,8,6,560,6.2,0,1,1,0,0,0,5,0,0.16,5,1,20.0,0.80,0.16,0.00,0.00,0,0,0,7,6,7,5,0,0,10,0,,,,,,,,,,,,,,
729,Lohann Doucet,bf BFA,MF,Paris FC,fr Ligue 1,23.0,2002,5,1,121,1.3,1,0,1,1,0,0,2,0,0.74,2,1,50.0,1.49,0.74,0.50,1.00,0,0,0,0,0,1,2,0,0,4,0,,,,,,,,,,,,,,
730,Fodé Doucouré,ml MLI,"MF,FW",Le Havre,fr Ligue 1,25.0,2001,23,12,1033,11.5,3,1,4,3,0,0,2,0,0.35,19,8,42.1,1.66,0.70,0.16,0.38,0,0,69,20,8,4,2,0,0,13,0,,,,,,,,,,,,,,
731,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,21.0,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,3,0,0,0,0,1,0,,,,,,,,,,,,,,
732,Désiré Doué,fr FRA,"FW,MF",Paris Saint-Germain,fr Ligue 1,20.0,2005,20,14,1146,12.7,6,2,8,6,0,1,0,0,0.63,45,17,37.8,3.53,1.34,0.13,0.35,0,1,51,17,8,27,0,0,0,22,0,,,,,,,,,,,,,,
733,Guela Doué,ci CIV,"DF,MF",Strasbourg,fr Ligue 1,23.0,2002,21,20,1791,19.9,2,6,8,2,0,0,3,0,0.40,12,5,41.7,0.60,0.25,0.17,0.40,0,0,45,35,25,20,3,0,0,40,0,,,,,,,,,,,,,,
734,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,22.0,2003,22,22,1822,20.2,0,1,1,0,0,0,3,2,0.05,7,3,42.9,0.35,0.15,0.00,0.00,0,0,3,10,22,15,3,2,0,17,1,,,,,,,,,,,,,,
735,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,23.0,2003,20,19,1515,16.8,5,3,8,5,0,0,6,0,0.48,38,12,31.6,2.26,0.71,0.13,0.42,0,0,19,28,18,18,6,0,0,26,0,,,,,,,,,,,,,,
736,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,26.0,1999,34,21,1941,21.6,12,1,13,11,1,1,0,0,0.56,54,25,46.3,2.50,1.16,0.20,0.44,1,1,4,10,4,37,0,0,0,31,0,,,,,,,,,,,,,,
737,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28.0,1997,13,3,390,4.3,3,1,4,3,0,0,0,0,0.92,10,5,50.0,2.31,1.15,0.30,0.60,0,0,1,3,0,6,0,0,0,11,0,,,,,,,,,,,,,,
738,Max Dowman,eng ENG,MF,Arsenal,eng Premier League,16.0,2009,4,0,83,0.9,1,0,1,1,0,0,0,0,1.08,5,1,20.0,5.42,1.08,0.20,1.00,0,0,6,2,0,5,0,0,0,1,0,,,,,,,,,,,,,,
739,Damion Downs,us USA,FW,Hamburger SV,de Bundesliga,21.0,2004,11,6,513,5.7,0,0,0,0,0,0,0,0,0.00,7,4,57.1,1.23,0.70,0.00,0.00,0,0,0,2,0,1,0,0,0,8,0,,,,,,,,,,,,,,
740,Radu Drăgușin,ro ROU,DF,Tottenham Hotspur,eng Premier League,24.0,2002,9,5,516,5.7,0,0,0,0,0,0,0,0,0.00,4,0,0.0,0.70,0.00,0.00,,0,0,3,3,16,1,0,0,0,9,0,,,,,,,,,,,,,,
741,Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,eng Premier League,16.0,2009,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,
742,Domingos Duarte,pt POR,DF,Getafe,es La Liga,31.0,1995,29,29,2492,27.7,1,1,2,1,0,0,9,0,0.07,12,4,33.3,0.43,0.14,0.08,0.25,0,0,0,11,27,21,9,0,0,29,1,,,,,,,,,,,,,,
743,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,37.0,1989,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,7,1,0,0,0,0,68,2.00,184,122,66.3,4,8,22,4,11.8,7,6,0,1
744,Denzel Dumfries,nl NED,MF,Inter,it Serie A,30.0,1996,18,14,1207,13.4,3,1,4,3,0,0,2,0,0.30,19,5,26.3,1.42,0.37,0.16,0.60,0,0,29,8,7,11,2,0,0,20,0,,,,,,,,,,,,,,
745,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,34.0,1991,29,28,2565,28.5,0,0,0,0,0,0,10,0,0.00,19,2,10.5,0.67,0.07,0.00,0.00,0,0,5,21,29,8,10,0,0,13,0,,,,,,,,,,,,,,
746,Maxime Dupé,fr FRA,GK,Nice,fr Ligue 1,33.0,1993,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,15,1.87,32,20,62.5,1,4,3,1,12.5,3,3,0,0
747,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,24.0,2001,26,16,1284,14.3,2,2,4,2,0,0,1,0,0.28,33,14,42.4,2.31,0.98,0.06,0.14,0,0,13,9,4,11,1,0,0,14,0,,,,,,,,,,,,,,
748,Hugo Duro,es ESP,FW,Valencia,es La Liga,26.0,1999,31,18,1667,18.5,9,0,9,8,1,1,4,0,0.43,32,12,37.5,1.73,0.65,0.25,0.67,1,1,0,8,3,32,4,0,0,16,0,,,,,,,,,,,,,,
749,Rafiu Durosinmi,ng NGA,FW,Pisa,it Serie A,23.0,2003,11,4,422,4.7,1,1,2,1,0,0,0,1,0.43,9,5,55.6,1.92,1.07,0.11,0.20,0,0,0,0,1,2,0,1,0,14,0,,,,,,,,,,,,,,
750,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,32.0,1993,18,12,1068,11.9,2,2,4,2,0,1,0,0,0.34,36,14,38.9,3.03,1.18,0.06,0.14,0,1,73,5,3,26,0,0,0,11,0,,,,,,,,,,,,,,
751,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,40.0,1986,11,2,244,2.7,0,0,0,0,0,0,1,0,0.00,4,1,25.0,1.48,0.37,0.00,0.00,0,0,1,1,1,5,1,0,0,2,0,,,,,,,,,,,,,,
752,Adam Dźwigała,pl POL,DF,St Pauli,de Bundesliga,30.0,1995,17,13,1167,13.0,1,1,2,1,0,0,5,0,0.15,4,2,50.0,0.31,0.15,0.25,0.50,0,0,1,26,21,6,5,0,0,19,0,,,,,,,,,,,,,,
753,Aron Dønnum,no NOR,MF,Toulouse,fr Ligue 1,28.0,1998,26,26,2251,25.0,4,4,8,1,3,3,7,0,0.20,38,13,34.2,1.52,0.52,0.03,0.08,3,3,133,27,28,38,7,0,0,35,0,,,,,,,,,,,,,,
754,George Earthy,eng ENG,MF,West Ham United,eng Premier League,21.0,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
755,Younes Ebnoutalib,de GER,FW,Eintracht Frankfurt,de Bundesliga,22.0,2003,4,2,124,1.4,1,0,1,1,0,0,0,0,0.73,4,1,25.0,2.90,0.73,0.25,1.00,0,0,0,0,1,2,0,0,0,2,0,,,,,,,,,,,,,,
756,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,21.0,2004,27,20,1632,18.1,1,0,1,1,0,0,7,0,0.06,21,4,19.0,1.16,0.22,0.05,0.25,0,0,13,20,21,31,7,0,0,27,0,,,,,,,,,,,,,,
757,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,27.0,1999,4,3,214,2.4,0,0,0,0,0,0,1,0,0.00,1,0,0.0,0.42,0.00,0.00,,0,0,0,1,0,1,1,0,0,5,0,,,,,,,,,,,,,,
758,Enzo Ebosse,cm CMR,DF,Torino,it Serie A,27.0,1999,9,9,755,8.4,0,0,0,0,0,0,2,0,0.00,0,0,,0.00,0.00,,,0,0,2,3,8,7,2,0,0,11,0,,,,,,,,,,,,,,
759,Claudio Echeverri,ar ARG,"FW,MF",Girona,es La Liga,20.0,2006,12,4,461,5.1,1,1,2,1,0,0,3,0,0.39,15,3,20.0,2.93,0.59,0.07,0.33,0,0,11,6,1,11,3,0,0,4,0,,,,,,,,,,,,,,
760,Claudio Echeverri,ar ARG,MF,Leverkusen,de Bundesliga,20.0,2006,6,1,134,1.5,0,0,0,0,0,0,0,0,0.00,1,0,0.0,0.67,0.00,0.00,,0,0,6,1,1,2,0,0,0,0,0,,,,,,,,,,,,,,
761,Éderson,br BRA,MF,Atalanta,it Serie A,26.0,1999,27,23,1960,21.8,1,0,1,0,1,1,2,0,0.00,32,9,28.1,1.47,0.41,0.00,0.00,1,1,11,30,23,34,2,0,0,31,0,,,,,,,,,,,,,,
762,Noah Edjouma,fr FRA,FW,Toulouse,fr Ligue 1,20.0,2005,12,2,256,2.8,0,0,0,0,0,0,0,0,0.00,8,3,37.5,2.81,1.05,0.00,0.00,0,0,12,3,3,4,0,0,0,4,0,,,,,,,,,,,,,,
763,Noah Edjouma,fr FRA,MF,Lille,fr Ligue 1,20.0,2005,3,1,92,1.0,0,0,0,0,0,0,0,0,0.00,2,0,0.0,1.96,0.00,0.00,,0,0,6,4,0,2,0,0,0,1,0,,,,,,,,,,,,,,
764,Andrias Edmundsson,fo FRO,DF,Hellas Verona,it Serie A,25.0,2000,11,11,959,10.7,0,0,0,0,0,0,3,0,0.00,4,1,25.0,0.38,0.09,0.00,0.00,0,0,4,13,20,7,3,0,0,12,0,,,,,,,,,,,,,,
765,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,28.0,1998,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,
766,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,28.0,1998,26,23,1602,17.8,12,3,15,11,1,1,2,0,0.79,54,28,51.9,3.03,1.57,0.20,0.39,1,1,1,4,2,17,2,0,0,19,0,,,,,,,,,,,,,,
767,Tom Edozie,eng ENG,MF,Wolves,eng Premier League,19.0,2006,2,0,13,0.1,1,0,1,1,0,0,0,0,6.92,2,1,50.0,13.85,6.92,0.50,1.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
768,Yannick Eduardo,cz CZE,FW,Hoffenheim,de Bundesliga,20.0,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
769,Alysson Edward,br BRA,MF,Aston Villa,eng Premier League,19.0,2006,3,0,49,0.5,0,0,0,0,0,0,0,0,0.00,1,0,0.0,1.84,0.00,0.00,,0,0,2,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,
770,Marcus Edwards,eng ENG,"MF,FW",Burnley,eng Premier League,27.0,1998,22,11,1051,11.7,1,3,4,1,0,0,0,0,0.34,22,6,27.3,1.88,0.51,0.05,0.17,0,0,18,6,3,18,0,0,0,7,0,,,,,,,,,,,,,,
771,CJ Egan-Riley,eng ENG,"DF,MF",Marseille,fr Ligue 1,23.0,2003,11,8,624,6.9,0,0,0,0,0,0,1,1,0.00,0,0,,0.00,0.00,,,0,0,1,7,2,5,1,1,0,5,0,,,,,,,,,,,,,,
772,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,29.0,1996,31,31,2790,31.0,3,1,4,3,0,0,4,0,0.13,42,13,31.0,1.35,0.42,0.07,0.23,0,0,14,33,29,20,4,0,0,17,0,,,,,,,,,,,,,,
773,Kingsley Ehizibue,nl NED,"MF,DF",Udinese,it Serie A,30.0,1995,29,17,1576,17.5,1,0,1,1,0,0,4,0,0.06,6,1,16.7,0.34,0.06,0.17,1.00,0,0,30,28,13,21,4,0,0,32,0,,,,,,,,,,,,,,
774,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,28.0,1997,8,2,200,2.2,0,0,0,0,0,0,1,0,0.00,3,1,33.3,1.35,0.45,0.00,0.00,0,0,1,2,3,5,1,0,0,3,0,,,,,,,,,,,,,,
775,Chidera Ejuke,ng NGA,"MF,FW",Sevilla,es La Liga,28.0,1998,23,4,702,7.8,1,1,2,1,0,0,0,0,0.26,18,2,11.1,2.31,0.26,0.06,0.50,0,0,18,9,5,12,0,0,0,4,0,,,,,,,,,,,,,,
776,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,27.0,1998,18,16,1449,16.1,0,0,0,0,0,0,0,0,0.00,6,1,16.7,0.37,0.06,0.00,0.00,0,0,1,14,11,6,0,0,0,5,0,,,,,,,,,,,,,,
777,Jeff Ekhator,it ITA,FW,Genoa,it Serie A,19.0,2006,27,7,790,8.8,3,0,3,3,0,0,3,0,0.34,16,4,25.0,1.82,0.46,0.19,0.75,0,0,9,8,1,18,3,0,0,19,0,,,,,,,,,,,,,,
778,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23.0,2002,28,21,1803,20.0,11,4,15,11,0,0,0,0,0.75,65,19,29.2,3.24,0.95,0.17,0.58,0,0,7,7,4,12,0,0,0,35,0,,,,,,,,,,,,,,
779,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,26.0,2000,30,26,2096,23.3,5,3,8,5,0,0,1,0,0.34,30,14,46.7,1.29,0.60,0.17,0.36,0,0,32,26,17,16,1,0,0,21,0,,,,,,,,,,,,,,
780,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22.0,2003,29,23,2033,22.6,0,0,0,0,0,0,3,0,0.00,9,3,33.3,0.40,0.13,0.00,0.00,0,0,56,29,28,29,3,0,0,27,0,,,,,,,,,,,,,,
781,Caleb Ekuban,gh GHA,"FW,MF",Genoa,it Serie A,32.0,1994,28,6,920,10.2,4,1,5,4,0,0,0,0,0.49,26,10,38.5,2.54,0.98,0.15,0.40,0,0,5,1,5,27,0,0,0,15,0,,,,,,,,,,,,,,
782,Anthony Elanga,se SWE,"FW,MF",Newcastle United,eng Premier League,24.0,2002,30,14,1288,14.3,0,1,1,0,0,0,0,0,0.07,16,4,25.0,1.12,0.28,0.00,0.00,0,0,80,11,3,23,0,0,0,8,0,,,,,,,,,,,,,,
783,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,29.0,1997,20,15,1241,13.8,0,0,0,0,0,0,6,1,0.00,4,1,25.0,0.29,0.07,0.00,0.00,0,0,0,14,20,15,6,1,1,20,0,,,,,,,,,,,,,,
784,Unai Elgezabal,es ESP,"DF,MF",Levante,es La Liga,33.0,1993,12,11,958,10.6,1,0,1,1,0,0,2,0,0.09,3,1,33.3,0.28,0.09,0.33,1.00,0,0,0,4,4,6,2,0,0,11,1,,,,,,,,,,,,,,
785,Melker Ellborg,se SWE,GK,Sunderland,eng Premier League,22.0,2003,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,2,0.67,12,10,83.3,2,0,1,1,33.3,0,0,0,0
786,Mikael Ellertsson,is ISL,MF,Genoa,it Serie A,24.0,2002,32,27,2407,26.7,1,1,2,1,0,0,1,1,0.07,26,6,23.1,0.97,0.22,0.04,0.17,0,0,30,25,14,36,1,1,0,25,0,,,,,,,,,,,,,,
787,Harvey Elliott,eng ENG,"FW,MF",Liverpool,eng Premier League,23.0,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
788,Harvey Elliott,eng ENG,MF,Aston Villa,eng Premier League,23.0,2003,4,1,112,1.2,0,0,0,0,0,0,0,0,0.00,5,0,0.0,4.02,0.00,0.00,,0,0,3,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
789,Elif Elmas,mk MKD,MF,Napoli,it Serie A,26.0,1999,30,18,1620,18.0,1,2,3,1,0,0,2,0,0.17,23,8,34.8,1.28,0.44,0.04,0.13,0,0,36,13,6,13,2,0,0,17,0,,,,,,,,,,,,,,
790,Nesta Elphege,fr FRA,FW,Parma,it Serie A,25.0,2001,6,1,181,2.0,2,1,3,2,0,0,0,0,1.49,3,2,66.7,1.49,0.99,0.67,1.00,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,
791,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,32.0,1994,13,6,547,6.1,0,0,0,0,0,0,0,0,0.00,3,2,66.7,0.49,0.33,0.00,0.00,0,0,3,6,8,7,0,0,0,14,0,,,,,,,,,,,,,,
792,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,29.0,1996,31,31,2786,31.0,0,0,0,0,0,0,4,0,0.00,8,0,0.0,0.26,0.00,0.00,,0,0,1,30,35,14,4,0,0,16,0,,,,,,,,,,,,,,
793,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,29.0,1997,28,19,1713,19.0,8,3,11,8,0,0,3,0,0.58,34,15,44.1,1.79,0.79,0.24,0.53,0,0,7,13,4,52,3,0,0,46,0,,,,,,,,,,,,,,
794,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,23.0,2003,9,4,434,4.8,4,2,6,4,0,0,3,0,1.24,17,8,47.1,3.53,1.66,0.24,0.50,0,0,0,0,0,9,3,0,0,12,0,,,,,,,,,,,,,,
795,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21.0,2004,25,18,1441,16.0,5,2,7,5,0,0,5,1,0.44,48,18,37.5,3.00,1.12,0.10,0.28,0,0,8,8,7,8,5,1,0,38,0,,,,,,,,,,,,,,
796,Julio Enciso,py PAR,"MF,FW",Strasbourg,fr Ligue 1,22.0,2004,23,19,1594,17.7,2,2,4,2,0,0,2,0,0.23,47,18,38.3,2.65,1.02,0.04,0.11,0,0,52,9,6,26,2,0,0,17,0,,,,,,,,,,,,,,
797,Wataru Endo,jp JPN,DF,Liverpool,eng Premier League,33.0,1993,8,1,175,1.9,0,1,1,0,0,0,1,0,0.51,1,0,0.0,0.51,0.00,0.00,,0,0,3,3,0,3,1,0,0,2,0,,,,,,,,,,,,,,
798,Endrick,br BRA,FW,Real Madrid,es La Liga,19.0,2006,1,0,12,0.1,0,0,0,0,0,0,0,1,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,
799,Endrick,br BRA,"FW,MF",Lyon,fr Ligue 1,19.0,2006,13,11,972,10.8,4,6,10,3,1,1,3,1,0.83,37,22,59.5,3.43,2.04,0.08,0.14,1,1,31,7,2,18,3,1,0,16,0,,,,,,,,,,,,,,
800,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,25.0,2001,28,26,2217,24.6,2,2,4,2,0,0,7,0,0.16,17,5,29.4,0.69,0.20,0.12,0.40,0,0,5,21,32,30,7,0,0,37,0,,,,,,,,,,,,,,
801,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,34.0,1992,28,24,2166,24.1,3,7,10,0,3,3,4,0,0.29,32,11,34.4,1.33,0.46,0.00,0.00,3,3,107,18,16,4,4,0,0,11,0,,,,,,,,,,,,,,
802,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30.0,1995,33,33,2970,33.0,0,1,1,0,0,0,3,0,0.03,0,0,,0.00,0.00,,,0,0,0,0,0,8,3,0,0,1,0,51,1.55,178,134,74.2,6,10,17,9,27.3,7,5,2,0
