Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
348,Sebastián Boselli,uy URU,DF,Getafe,es La Liga,22.0,2003,10,4,360,4.0,0,0,0,0,0,0,3,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,348,uy URU,DF,es La Liga,22-145,2003,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,0,0,433,uy URU,DF,es La Liga,22-145,2003,10,360,36,12.1,4.0,4,79,3,6,8,3,2.00,4,2,+2,+0.50,+0.78,348,uy URU,DF,es La Liga,22-145,2003,4.0,3,0,0,5,0,0,8,0,12,0
349,Sven Botman,nl NED,DF,Newcastle United,eng Premier League,26.0,2000,21,17,1475,16.4,1,1,2,1,0,0,2,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,349,nl NED,DF,eng Premier League,26-106,2000,16.4,1,13,4,30.8,0.79,0.24,0.08,0.25,0,0,435,nl NED,DF,eng Premier League,26-106,2000,21,1475,70,48.2,16.4,17,83,13,4,15,5,1.29,18,22,-4,-0.24,-0.24,349,nl NED,DF,eng Premier League,26-106,2000,16.4,2,0,0,11,13,0,2,17,11,1
350,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,18.0,2007,27,25,2103,23.4,0,1,1,0,0,0,6,1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,350,fr FRA,MF,fr Ligue 1,18-208,2007,23.4,0,15,4,26.7,0.64,0.17,0.00,0.00,0,0,436,fr FRA,MF,fr Ligue 1,18-208,2007,27,2103,78,75.4,23.4,25,83,15,2,14,2,1.67,28,23,+5,+0.21,-1.23,350,fr FRA,MF,fr Ligue 1,18-208,2007,23.4,6,1,0,35,21,0,16,25,35,0
351,Badredine Bouanani,dz ALG,MF,Nice,fr Ligue 1,21.0,2004,2,1,93,1.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,351,dz ALG,MF,fr Ligue 1,21-141,2004,1.0,0,1,0,0.0,0.97,0.00,0.00,,0,0,437,dz ALG,MF,fr Ligue 1,21-141,2004,2,93,47,3.3,1.0,1,75,0,1,18,0,1.50,1,0,+1,+0.97,+1.74,351,dz ALG,MF,fr Ligue 1,21-141,2004,1.0,0,0,0,0,2,0,5,1,0,0
352,Badredine Bouanani,dz ALG,MF,Stuttgart,de Bundesliga,21.0,2004,14,5,463,5.1,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,352,dz ALG,MF,de Bundesliga,21-141,2004,5.1,0,16,4,25.0,3.11,0.78,0.00,0.00,0,0,438,dz ALG,MF,de Bundesliga,21-141,2004,14,463,33,16.6,5.1,5,72,1,9,11,12,1.79,13,5,+8,+1.56,+1.09,352,dz ALG,MF,de Bundesliga,21-141,2004,5.1,1,0,0,1,6,1,26,4,3,0
353,Kaïl Boudache,fr FRA,FW,Nice,fr Ligue 1,19.0,2006,11,1,416,4.6,1,0,1,1,0,0,1,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,353,fr FRA,FW,fr Ligue 1,19-317,2006,4.6,1,10,2,20.0,2.16,0.43,0.10,0.50,0,0,440,fr FRA,FW,fr Ligue 1,19-317,2006,11,416,38,14.9,4.6,1,62,0,10,35,1,0.73,5,8,-3,-0.65,+0.07,353,fr FRA,FW,fr Ligue 1,19-317,2006,4.6,1,0,0,3,4,0,7,6,9,0
354,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,26.0,1999,22,16,1470,16.3,1,2,3,1,0,0,5,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,354,dz ALG,MF,fr Ligue 1,26-217,1999,16.3,1,19,8,42.1,1.16,0.49,0.05,0.13,0,0,441,dz ALG,MF,fr Ligue 1,26-217,1999,22,1470,67,52.7,16.3,16,83,11,6,24,1,0.95,18,30,-12,-0.73,-0.05,354,dz ALG,MF,fr Ligue 1,26-217,1999,16.3,5,0,0,17,33,2,17,17,14,0
355,Sofiane Boufal,ma MAR,"FW,MF",Le Havre,fr Ligue 1,32.0,1993,14,10,800,8.9,1,3,4,1,0,0,1,0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,355,ma MAR,"FW,MF",fr Ligue 1,32-223,1993,8.9,1,14,3,21.4,1.58,0.34,0.07,0.33,0,0,442,ma MAR,"FW,MF",fr Ligue 1,32-223,1993,14,800,57,28.7,8.9,10,73,0,4,18,0,0.93,7,14,-7,-0.79,-0.52,355,ma MAR,"FW,MF",fr Ligue 1,32-223,1993,8.9,1,0,0,16,25,5,52,2,9,0
356,Justin Bourgault,fr FRA,FW,Brest,fr Ligue 1,20.0,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,356,fr FRA,FW,fr Ligue 1,20-226,2005,0.2,0,1,0,0.0,5.63,0.00,0.00,,0,0,444,fr FRA,FW,fr Ligue 1,20-226,2005,1,16,16,0.6,0.2,0,,0,1,16,9,0.00,0,2,-2,-11.25,-11.12,356,fr FRA,FW,fr Ligue 1,20-226,2005,0.2,0,0,0,0,0,0,0,1,0,0
357,Jarrod Bowen,eng ENG,"MF,FW",West Ham United,eng Premier League,29.0,1996,34,34,3046,33.8,8,10,18,7,1,1,4,0,0.50,,,,,,,,,,,,,,,,,,,,,,,,,357,eng ENG,"MF,FW",eng Premier League,29-129,1996,33.8,8,73,24,32.9,2.16,0.71,0.10,0.29,1,1,447,eng ENG,"MF,FW",eng Premier League,29-129,1996,34,3046,90,99.5,33.8,34,90,29,0,,0,1.06,41,56,-15,-0.44,+5.99,357,eng ENG,"MF,FW",eng Premier League,29-129,1996,33.8,4,0,0,18,45,17,129,27,26,0
358,Kieron Bowie,sct SCO,FW,Hellas Verona,it Serie A,23.0,2002,10,10,840,9.3,2,0,2,2,0,0,1,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,358,sct SCO,FW,it Serie A,23-219,2002,9.3,2,19,6,31.6,2.04,0.64,0.11,0.33,0,0,448,sct SCO,FW,it Serie A,23-219,2002,10,840,84,27.5,9.3,10,84,6,0,,0,0.50,5,13,-8,-0.86,+0.16,358,sct SCO,FW,it Serie A,23-219,2002,9.3,1,0,0,24,17,2,6,0,1,0
359,Lucas Boyé,ar ARG,FW,Alavés,es La Liga,30.0,1996,27,21,1866,20.7,11,1,12,8,3,3,4,1,0.43,,,,,,,,,,,,,,,,,,,,,,,,,359,ar ARG,FW,es La Liga,30-059,1996,20.7,11,59,20,33.9,2.85,0.96,0.14,0.40,3,3,449,ar ARG,FW,es La Liga,30-059,1996,27,1866,69,62.8,20.7,21,80,15,6,30,0,1.19,24,31,-7,-0.34,-0.01,359,ar ARG,FW,es La Liga,30-059,1996,20.7,4,1,1,55,36,9,10,7,24,0
360,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,24.0,2001,25,24,2092,23.2,1,1,2,1,0,0,5,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,360,cm CMR,DF,es La Liga,24-203,2001,23.2,1,7,3,42.9,0.30,0.13,0.14,0.33,0,0,450,cm CMR,DF,es La Liga,24-203,2001,25,2092,84,70.4,23.2,24,86,20,1,18,2,1.28,27,29,-2,-0.09,-0.19,360,cm CMR,DF,es La Liga,24-203,2001,23.2,5,0,0,25,4,0,8,12,31,0
361,Rosen Bozhinov,bg BUL,DF,Pisa,it Serie A,21.0,2005,6,5,418,4.6,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,361,bg BUL,DF,it Serie A,21-095,2005,4.6,0,2,1,50.0,0.43,0.22,0.00,0.00,0,0,451,bg BUL,DF,it Serie A,21-095,2005,6,418,70,13.7,4.6,5,83,3,1,1,8,0.33,2,6,-4,-0.86,+0.26,361,bg BUL,DF,it Serie A,21-095,2005,4.6,1,0,0,10,1,1,2,9,3,0
362,Domagoj Bradarić,hr CRO,MF,Hellas Verona,it Serie A,26.0,1999,26,22,1868,20.8,0,0,0,0,0,0,2,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,362,hr CRO,MF,it Serie A,26-139,1999,20.8,0,12,6,50.0,0.58,0.29,0.00,0.00,0,0,452,hr CRO,MF,it Serie A,26-139,1999,26,1868,72,61.0,20.8,22,80,12,4,27,4,0.42,15,37,-22,-1.06,-0.23,362,hr CRO,MF,it Serie A,26-139,1999,20.8,2,0,0,8,10,2,97,9,20,0
363,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,22.0,2003,15,12,929,10.3,0,1,1,0,0,0,5,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,363,nir NIR,DF,eng Premier League,22-293,2003,10.3,0,6,0,0.0,0.58,0.00,0.00,,0,0,453,nir NIR,DF,eng Premier League,22-293,2003,15,929,62,30.4,10.3,12,70,3,3,29,1,1.47,11,13,-2,-0.19,-0.83,363,nir NIR,DF,eng Premier League,22-293,2003,10.3,5,0,0,18,20,1,23,12,15,0
364,Bilal Brahimi,dz ALG,"FW,MF",Nice,fr Ligue 1,26.0,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,364,dz ALG,"FW,MF",fr Ligue 1,26-045,2000,0.0,0,0,0,,0.00,0.00,,,0,0,454,dz ALG,"FW,MF",fr Ligue 1,26-045,2000,1,1,1,0.0,0.0,0,,0,1,1,1,0.00,0,0,0,0.00,+0.71,364,dz ALG,"FW,MF",fr Ligue 1,26-045,2000,0.0,0,0,0,0,0,0,2,0,0,0
365,Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,29.0,1996,26,15,1428,15.9,7,4,11,7,0,0,0,0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,365,de GER,"MF,FW",de Bundesliga,29-361,1996,15.9,7,34,16,47.1,2.14,1.01,0.21,0.44,0,0,455,de GER,"MF,FW",de Bundesliga,29-361,1996,26,1428,55,51.2,15.9,15,83,5,11,16,3,2.15,38,17,+21,+1.32,+0.46,365,de GER,"MF,FW",de Bundesliga,29-361,1996,15.9,0,0,0,8,5,7,22,5,7,0
366,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,23.0,2002,10,7,680,7.6,1,0,1,1,0,0,1,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,366,eng ENG,DF,eng Premier League,23-305,2002,7.6,1,6,2,33.3,0.79,0.26,0.17,0.50,0,0,456,eng ENG,DF,eng Premier League,23-305,2002,10,680,68,22.2,7.6,7,88,4,3,21,0,1.50,10,9,+1,+0.13,+0.17,366,eng ENG,DF,eng Premier League,23-305,2002,7.6,1,0,0,3,1,1,3,11,6,0
367,Lilian Brassier,fr FRA,DF,Rennes,fr Ligue 1,26.0,1999,26,24,2160,24.0,0,1,1,0,0,0,2,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,367,fr FRA,DF,fr Ligue 1,26-177,1999,24.0,0,11,2,18.2,0.46,0.08,0.00,0.00,0,0,458,fr FRA,DF,fr Ligue 1,26-177,1999,26,2160,83,77.4,24.0,24,87,21,2,36,3,1.85,45,31,+14,+0.58,+0.87,367,fr FRA,DF,fr Ligue 1,26-177,1999,24.0,2,0,0,26,21,0,23,37,12,0
368,Iker Bravo,es ESP,FW,Udinese,it Serie A,21.0,2005,8,3,206,2.3,1,0,1,1,0,0,1,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,368,es ESP,FW,it Serie A,21-105,2005,2.3,1,4,1,25.0,1.75,0.44,0.25,1.00,0,0,459,es ESP,FW,it Serie A,21-105,2005,8,206,26,6.7,2.3,3,55,0,5,8,7,1.38,2,2,0,0.00,+0.16,368,es ESP,FW,it Serie A,21-105,2005,2.3,1,0,0,3,1,0,4,0,1,0
369,Josip Brekalo,hr CRO,"MF,FW",Oviedo,es La Liga,27.0,1998,14,6,486,5.4,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,369,hr CRO,"MF,FW",es La Liga,27-309,1998,5.4,0,9,3,33.3,1.67,0.56,0.00,0.00,0,0,461,hr CRO,"MF,FW",es La Liga,27-309,1998,14,486,35,16.4,5.4,6,58,0,8,18,3,0.71,1,14,-13,-2.41,-1.97,369,hr CRO,"MF,FW",es La Liga,27-309,1998,5.4,1,0,0,7,6,0,26,2,7,0
370,Gleison Bremer,br BRA,DF,Juventus,it Serie A,29.0,1997,23,22,1901,21.1,4,3,7,4,0,0,4,0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,370,br BRA,DF,it Serie A,29-041,1997,21.1,4,16,8,50.0,0.76,0.38,0.25,0.50,0,0,462,br BRA,DF,it Serie A,29-041,1997,23,1901,83,62.1,21.1,22,86,17,1,15,1,2.22,43,16,+27,+1.28,+1.20,370,br BRA,DF,it Serie A,29-041,1997,21.1,4,0,0,18,9,0,1,24,11,0
371,Marco Brescianini,it ITA,MF,Fiorentina,it Serie A,26.0,2000,13,7,640,7.1,1,0,1,1,0,0,1,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,371,it ITA,MF,it Serie A,26-098,2000,7.1,1,10,2,20.0,1.41,0.28,0.10,0.50,0,0,463,it ITA,MF,it Serie A,26-098,2000,13,640,49,20.9,7.1,7,78,4,6,16,1,1.54,13,9,+4,+0.56,+0.97,371,it ITA,MF,it Serie A,26-098,2000,7.1,1,0,0,8,8,0,10,1,2,0
372,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,26.0,2000,9,0,182,2.0,1,0,1,1,0,0,1,0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,372,it ITA,MF,it Serie A,26-098,2000,2.0,1,3,2,66.7,1.48,0.99,0.33,0.50,0,0,464,it ITA,MF,it Serie A,26-098,2000,9,182,20,5.9,2.0,0,,0,9,20,10,1.56,5,1,+4,+1.98,+1.63,372,it ITA,MF,it Serie A,26-098,2000,2.0,1,0,0,4,2,0,6,2,8,0
373,Abel Bretones,es ESP,"MF,DF",Osasuna,es La Liga,25.0,2000,24,15,1432,15.9,1,0,1,1,0,0,5,1,0.06,,,,,,,,,,,,,,,,,,,,,,,,,373,es ESP,"MF,DF",es La Liga,25-250,2000,15.9,1,11,3,27.3,0.69,0.19,0.09,0.33,0,0,465,es ESP,"MF,DF",es La Liga,25-250,2000,24,1432,60,48.2,15.9,15,89,11,9,11,6,1.38,19,21,-2,-0.13,-0.18,373,es ESP,"MF,DF",es La Liga,25-250,2000,15.9,5,1,0,15,17,1,24,13,11,0
374,Sascha Britschgi,ch SUI,"MF,DF",Parma,it Serie A,19.0,2006,27,21,2008,22.3,0,2,2,0,0,0,4,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,374,ch SUI,"MF,DF",it Serie A,19-244,2006,22.3,0,13,3,23.1,0.58,0.13,0.00,0.00,0,0,468,ch SUI,"MF,DF",it Serie A,19-244,2006,27,2008,74,65.6,22.3,21,86,16,6,32,5,1.30,17,27,-10,-0.45,-0.02,374,ch SUI,"MF,DF",it Serie A,19-244,2006,22.3,4,0,0,15,22,0,47,8,18,0
375,Brian Brobbey,nl NED,FW,Sunderland,eng Premier League,24.0,2002,27,18,1630,18.1,6,1,7,6,0,0,5,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,375,nl NED,FW,eng Premier League,24-086,2002,18.1,6,27,14,51.9,1.49,0.77,0.22,0.43,0,0,469,nl NED,FW,eng Premier League,24-086,2002,27,1630,60,53.3,18.1,18,79,5,9,22,2,1.19,16,27,-11,-0.61,-0.73,375,nl NED,FW,eng Premier League,24-086,2002,18.1,5,0,0,24,30,8,2,0,2,0
376,Marius Broholm,no NOR,MF,Lille,fr Ligue 1,21.0,2004,11,3,279,3.1,1,1,2,0,1,1,0,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,376,no NOR,MF,fr Ligue 1,21-123,2004,3.1,1,4,3,75.0,1.29,0.97,0.00,0.00,1,1,471,no NOR,MF,fr Ligue 1,21-123,2004,11,279,25,10.0,3.1,3,53,0,8,15,6,1.00,8,7,+1,+0.32,-0.22,376,no NOR,MF,fr Ligue 1,21-123,2004,3.1,0,0,0,4,8,0,14,2,6,0
377,Armando Broja,al ALB,FW,Burnley,eng Premier League,24.0,2001,23,8,845,9.4,1,1,2,1,0,0,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,377,al ALB,FW,eng Premier League,24-230,2001,9.4,1,16,6,37.5,1.70,0.64,0.06,0.17,0,0,472,al ALB,FW,eng Premier League,24-230,2001,23,845,37,27.6,9.4,8,79,2,15,14,4,0.26,11,27,-16,-1.70,-0.97,377,al ALB,FW,eng Premier League,24-230,2001,9.4,0,0,0,12,15,6,3,3,3,0
378,David Brooks,wls WAL,MF,Bournemouth,eng Premier League,28.0,1997,28,13,1164,12.9,1,2,3,1,0,0,7,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,378,wls WAL,MF,eng Premier League,28-294,1997,12.9,1,45,12,26.7,3.48,0.93,0.02,0.08,0,0,474,wls WAL,MF,eng Premier League,28-294,1997,28,1164,42,38.0,12.9,13,67,0,15,20,1,1.43,20,19,+1,+0.08,+0.12,378,wls WAL,MF,eng Premier League,28-294,1997,12.9,7,0,0,11,12,2,59,4,11,0
379,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,de Bundesliga,22.0,2003,30,26,2386,26.5,4,4,8,4,0,0,3,0,0.30,,,,,,,,,,,,,,,,,,,,,,,,,379,de GER,"MF,DF",de Bundesliga,22-316,2003,26.5,4,17,9,52.9,0.64,0.34,0.24,0.44,0,0,475,de GER,"MF,DF",de Bundesliga,22-316,2003,30,2386,80,85.5,26.5,26,86,20,4,41,0,1.43,47,48,-1,-0.04,+0.19,379,de GER,"MF,DF",de Bundesliga,22-316,2003,26.5,3,0,0,25,29,1,38,24,52,0
380,Brugui,es ESP,"MF,FW",Levante,es La Liga,29.0,1996,15,10,896,10.0,0,1,1,0,0,0,1,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,380,es ESP,"MF,FW",es La Liga,29-175,1996,10.0,0,18,5,27.8,1.81,0.50,0.00,0.00,0,0,476,es ESP,"MF,FW",es La Liga,29-175,1996,15,896,60,30.2,10.0,10,74,2,5,31,1,0.60,10,18,-8,-0.80,-0.59,380,es ESP,"MF,FW",es La Liga,29-175,1996,10.0,1,0,0,11,8,6,10,3,5,0
381,Paris Brunner,de GER,FW,Monaco,fr Ligue 1,20.0,2006,6,1,117,1.3,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,381,de GER,FW,fr Ligue 1,20-072,2006,1.3,0,2,0,0.0,1.54,0.00,0.00,,0,0,477,de GER,FW,fr Ligue 1,20-072,2006,6,117,20,4.2,1.3,1,45,0,5,14,10,2.00,3,2,+1,+0.77,+0.57,381,de GER,FW,fr Ligue 1,20-072,2006,1.3,1,0,0,8,1,1,1,1,2,0
382,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,eng Premier League,27.0,1998,25,10,1011,11.2,0,1,1,0,0,0,0,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,382,dk DEN,"MF,FW",eng Premier League,27-221,1998,11.2,0,16,4,25.0,1.42,0.36,0.00,0.00,0,0,478,dk DEN,"MF,FW",eng Premier League,27-221,1998,25,1011,40,33.0,11.2,10,67,0,15,23,4,0.60,12,29,-17,-1.51,-0.77,382,dk DEN,"MF,FW",eng Premier League,27-221,1998,11.2,0,0,0,1,0,3,40,6,3,0
383,Tajon Buchanan,ca CAN,MF,Villarreal,es La Liga,27.0,1999,30,19,1666,18.5,6,1,7,6,0,0,8,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,383,ca CAN,MF,es La Liga,27-079,1999,18.5,6,25,10,40.0,1.35,0.54,0.24,0.60,0,0,479,ca CAN,MF,es La Liga,27-079,1999,30,1666,56,56.1,18.5,19,73,5,11,25,1,1.87,32,15,+17,+0.92,+0.64,383,ca CAN,MF,es La Liga,27-079,1999,18.5,8,0,0,17,34,8,29,22,18,0
384,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,34.0,1991,32,30,2538,28.2,16,0,16,10,6,8,2,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,384,hr CRO,FW,es La Liga,34-280,1991,28.2,16,84,35,41.7,2.98,1.24,0.12,0.29,6,8,480,hr CRO,FW,es La Liga,34-280,1991,32,2538,79,85.5,28.2,30,83,15,2,22,0,1.31,30,31,-1,-0.04,-0.04,384,hr CRO,FW,es La Liga,34-280,1991,28.2,2,0,0,43,33,20,3,6,16,0
385,Emi Buendía,ar ARG,MF,Aston Villa,eng Premier League,29.0,1996,32,19,1558,17.3,5,2,7,5,0,0,6,0,0.40,,,,,,,,,,,,,,,,,,,,,,,,,385,ar ARG,MF,eng Premier League,29-124,1996,17.3,5,44,10,22.7,2.54,0.58,0.11,0.50,0,0,481,ar ARG,MF,eng Premier League,29-124,1996,32,1558,49,50.9,17.3,19,66,2,13,24,1,1.78,15,22,-7,-0.40,-1.12,385,ar ARG,MF,eng Premier League,29-124,1996,17.3,6,0,0,37,37,1,9,9,21,0
386,Hugo Bueno,es ESP,"MF,DF",Wolves,eng Premier League,23.0,2002,31,24,2221,24.7,1,1,2,1,0,0,3,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,386,es ESP,"MF,DF",eng Premier League,23-222,2002,24.7,1,14,6,42.9,0.57,0.24,0.07,0.17,0,0,482,es ESP,"MF,DF",eng Premier League,23-222,2002,31,2221,72,72.6,24.7,24,86,17,7,23,0,0.55,19,41,-22,-0.89,+0.82,386,es ESP,"MF,DF",eng Premier League,23-222,2002,24.7,3,0,0,17,24,2,157,33,35,0
387,Manu Bueno,es ESP,MF,Sevilla,es La Liga,21.0,2004,8,2,272,3.0,0,0,0,0,0,0,2,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,387,es ESP,MF,es La Liga,21-275,2004,3.0,0,2,0,0.0,0.66,0.00,0.00,,0,0,483,es ESP,MF,es La Liga,21-275,2004,8,272,34,9.2,3.0,2,67,0,6,23,22,1.88,5,2,+3,+0.99,+1.59,387,es ESP,MF,es La Liga,21-275,2004,3.0,2,0,0,4,3,0,2,0,1,0
388,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,27.0,1998,25,24,2193,24.4,2,1,3,2,0,0,4,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,388,uy URU,DF,eng Premier League,27-170,1998,24.4,2,7,5,71.4,0.29,0.21,0.29,0.40,0,0,484,uy URU,DF,eng Premier League,27-170,1998,25,2193,88,71.7,24.4,24,90,23,1,35,8,0.64,20,41,-21,-0.86,+0.90,388,uy URU,DF,eng Premier League,27-170,1998,24.4,4,0,0,22,10,1,5,22,30,0
389,Louis Buffon,cz CZE,FW,Pisa,it Serie A,18.0,2007,4,0,32,0.4,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,389,cz CZE,FW,it Serie A,18-121,2007,0.4,0,0,0,,0.00,0.00,,,0,0,485,cz CZE,FW,it Serie A,18-121,2007,4,32,8,1.0,0.4,0,,0,4,8,16,0.00,0,1,-1,-2.81,-1.74,389,cz CZE,FW,it Serie A,18-121,2007,0.4,0,0,0,1,1,0,0,0,0,0
390,Adam Buksa,pl POL,FW,Udinese,it Serie A,29.0,1996,21,3,667,7.4,2,0,2,2,0,0,2,0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,390,pl POL,FW,it Serie A,29-290,1996,7.4,2,10,4,40.0,1.35,0.54,0.20,0.50,0,0,487,pl POL,FW,it Serie A,29-290,1996,21,667,32,21.8,7.4,3,75,0,18,25,2,1.19,8,13,-5,-0.67,-0.67,390,pl POL,FW,it Serie A,29-290,1996,7.4,2,0,0,16,12,2,1,2,7,0
391,Andrija Bulatović,me MNE,MF,Lens,fr Ligue 1,19.0,2006,16,4,576,6.4,0,2,2,0,0,0,1,0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,391,me MNE,MF,fr Ligue 1,19-122,2006,6.4,0,6,4,66.7,0.94,0.62,0.00,0.00,0,0,488,me MNE,MF,fr Ligue 1,19-122,2006,16,576,36,21.3,6.4,4,89,2,12,18,12,2.06,16,7,+9,+1.41,+0.60,391,me MNE,MF,fr Ligue 1,19-122,2006,6.4,1,0,0,15,17,0,39,6,15,0
392,Marius Bülter,de GER,"FW,MF",Köln,de Bundesliga,33.0,1993,29,15,1357,15.1,3,4,7,3,0,0,3,0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,392,de GER,"FW,MF",de Bundesliga,33-030,1993,15.1,3,35,13,37.1,2.32,0.86,0.09,0.23,0,0,489,de GER,"FW,MF",de Bundesliga,33-030,1993,29,1357,47,48.6,15.1,15,73,6,14,19,0,0.97,26,22,+4,+0.27,+1.02,392,de GER,"FW,MF",de Bundesliga,33-030,1993,15.1,3,0,0,14,24,6,59,6,3,0
393,Facundo Buonanotte,ar ARG,MF,Leeds United,eng Premier League,21.0,2004,2,0,26,0.3,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,393,ar ARG,MF,eng Premier League,21-126,2004,0.3,0,1,0,0.0,3.46,0.00,0.00,,0,0,490,ar ARG,MF,eng Premier League,21-126,2004,2,26,13,0.8,0.3,0,,0,2,13,5,0.50,0,1,-1,-3.46,-3.28,393,ar ARG,MF,eng Premier League,21-126,2004,0.3,1,0,0,1,0,0,0,1,0,0
394,Facundo Buonanotte,ar ARG,MF,Chelsea,eng Premier League,21.0,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,394,ar ARG,MF,eng Premier League,21-126,2004,0.5,0,0,0,,0.00,0.00,,,0,0,491,ar ARG,MF,eng Premier League,21-126,2004,1,45,45,1.5,0.5,1,45,0,0,,4,1.00,0,1,-1,-2.00,-2.27,394,ar ARG,MF,eng Premier League,21-126,2004,0.5,0,0,0,0,0,0,0,0,0,0
395,Alessandro Buongiorno,it ITA,DF,Napoli,it Serie A,26.0,1999,30,25,2283,25.4,0,1,1,0,0,0,3,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,395,it ITA,DF,it Serie A,26-326,1999,25.4,0,8,3,37.5,0.32,0.12,0.00,0.00,0,0,492,it ITA,DF,it Serie A,26-326,1999,30,2283,76,74.6,25.4,25,87,20,5,21,2,2.07,38,26,+12,+0.47,-0.34,395,it ITA,DF,it Serie A,26-326,1999,25.4,3,0,0,46,26,1,6,39,22,0
